id,measure_token,measure,position,onset_seconds,onset_milliseconds,event_duration_seconds,event_end_seconds,tempo_bpm,meter,primer_count,electronics_count,sample_length,measure_words,timing_note,primer,electronics,electronicsByPart
1,1,1,beat1,0.0,0,11.088471,11.088471,102.0,4/4,0,3,ELECTRONICS,"[""Moderato"", ""Sounds of flowing water"", ""Begin in darkness""]",musicxml_tempo_encoded,{},"{""soprano"": {""sample"": ""available-sounds/electronics-trigger-clips/soprano/electronics-trigger-01-soprano.mp3"", ""channelMode"": ""left"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_Sops_Primertones_2.mp3"", ""primerStemDurationMs"": 427391.396, ""sourceStartMs"": 2000.0, ""sourceEndMs"": 13088.471, ""durationMs"": 11088.471, ""fadeInMs"": 20.0, ""fadeOutMs"": 1176.471, ""timingRule"": ""trigger_1_fixed_start_to_trigger_2_plus_two_beats""}, ""alto"": {""sample"": ""available-sounds/electronics-trigger-clips/alto/electronics-trigger-01-alto.mp3"", ""channelMode"": ""right"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_Altos_Primertones_2.mp3"", ""primerStemDurationMs"": 427391.396, ""sourceStartMs"": 2000.0, ""sourceEndMs"": 13088.471, ""durationMs"": 11088.471, ""fadeInMs"": 20.0, ""fadeOutMs"": 1176.471, ""timingRule"": ""trigger_1_fixed_start_to_trigger_2_plus_two_beats""}, ""tenor_bass"": {""sample"": ""available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-01-tenor-bass.mp3"", ""channelMode"": ""mono_sum"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_TenBass_Primertones_2.mp3"", ""primerStemDurationMs"": 401749.333, ""sourceStartMs"": 2000.0, ""sourceEndMs"": 13088.471, ""durationMs"": 11088.471, ""fadeInMs"": 20.0, ""fadeOutMs"": 1176.471, ""timingRule"": ""trigger_1_fixed_start_to_trigger_2_plus_two_beats""}}",{}
2,2,2,beat1,2.352941,2353,57.058824,59.411765,102.0,4/4,0,3,ELECTRONICS,"[""nighttime sounds mixed with cacouphonous shimmery jingling""]",musicxml_tempo_encoded,{},"{""soprano"": {""sample"": ""available-sounds/electronics-trigger-clips/soprano/electronics-trigger-02-soprano.mp3"", ""channelMode"": ""left"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_Sops_Primertones_2.mp3"", ""primerStemDurationMs"": 427391.396, ""sourceStartMs"": 11912.0, ""sourceEndMs"": 68970.824, ""durationMs"": 57058.824, ""fadeInMs"": 20.0, ""fadeOutMs"": 1176.471, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}, ""alto"": {""sample"": ""available-sounds/electronics-trigger-clips/alto/electronics-trigger-02-alto.mp3"", ""channelMode"": ""right"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_Altos_Primertones_2.mp3"", ""primerStemDurationMs"": 427391.396, ""sourceStartMs"": 11912.0, ""sourceEndMs"": 68970.824, ""durationMs"": 57058.824, ""fadeInMs"": 20.0, ""fadeOutMs"": 1176.471, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}, ""tenor_bass"": {""sample"": ""available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-02-tenor-bass.mp3"", ""channelMode"": ""mono_sum"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_TenBass_Primertones_2.mp3"", ""primerStemDurationMs"": 401749.333, ""sourceStartMs"": 11912.0, ""sourceEndMs"": 68970.824, ""durationMs"": 57058.824, ""fadeInMs"": 20.0, ""fadeOutMs"": 1176.471, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}}",{}
3,25,25,beat4,58.235294,58235,21.666667,79.901961,102.0,4/4,0,3,ELECTRONICS,[],musicxml_tempo_encoded,{},"{""soprano"": {""sample"": ""available-sounds/electronics-trigger-clips/soprano/electronics-trigger-03-soprano.mp3"", ""channelMode"": ""left"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_Sops_Primertones_2.mp3"", ""primerStemDurationMs"": 427391.396, ""sourceStartMs"": 67794.353, ""sourceEndMs"": 89461.02, ""durationMs"": 21666.667, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}, ""alto"": {""sample"": ""available-sounds/electronics-trigger-clips/alto/electronics-trigger-03-alto.mp3"", ""channelMode"": ""right"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_Altos_Primertones_2.mp3"", ""primerStemDurationMs"": 427391.396, ""sourceStartMs"": 67794.353, ""sourceEndMs"": 89461.02, ""durationMs"": 21666.667, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}, ""tenor_bass"": {""sample"": ""available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-03-tenor-bass.mp3"", ""channelMode"": ""mono_sum"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_TenBass_Primertones_2.mp3"", ""primerStemDurationMs"": 401749.333, ""sourceStartMs"": 67794.353, ""sourceEndMs"": 89461.02, ""durationMs"": 21666.667, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}}",{}
4,33,33,beat2,78.235294,78235,8.333334,86.568628,72.0,3/4,0,3,ELECTRONICS,[],musicxml_tempo_encoded,{},"{""soprano"": {""sample"": ""available-sounds/electronics-trigger-clips/soprano/electronics-trigger-04-soprano.mp3"", ""channelMode"": ""left"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_Sops_Primertones_2.mp3"", ""primerStemDurationMs"": 427391.396, ""sourceStartMs"": 87794.353, ""sourceEndMs"": 96127.687, ""durationMs"": 8333.334, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}, ""alto"": {""sample"": ""available-sounds/electronics-trigger-clips/alto/electronics-trigger-04-alto.mp3"", ""channelMode"": ""right"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_Altos_Primertones_2.mp3"", ""primerStemDurationMs"": 427391.396, ""sourceStartMs"": 87794.353, ""sourceEndMs"": 96127.687, ""durationMs"": 8333.334, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}, ""tenor_bass"": {""sample"": ""available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-04-tenor-bass.mp3"", ""channelMode"": ""mono_sum"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_TenBass_Primertones_2.mp3"", ""primerStemDurationMs"": 401749.333, ""sourceStartMs"": 87794.353, ""sourceEndMs"": 96127.687, ""durationMs"": 8333.334, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}}",{}
5,36,36,beat1,84.901961,84902,36.666667,121.568628,72.0,4/4,0,3,ELECTRONICS,[],musicxml_tempo_encoded,{},"{""soprano"": {""sample"": ""available-sounds/electronics-trigger-clips/soprano/electronics-trigger-05-soprano.mp3"", ""channelMode"": ""left"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_Sops_Primertones_2.mp3"", ""primerStemDurationMs"": 427391.396, ""sourceStartMs"": 94461.02, ""sourceEndMs"": 131127.687, ""durationMs"": 36666.667, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}, ""alto"": {""sample"": ""available-sounds/electronics-trigger-clips/alto/electronics-trigger-05-alto.mp3"", ""channelMode"": ""right"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_Altos_Primertones_2.mp3"", ""primerStemDurationMs"": 427391.396, ""sourceStartMs"": 94461.02, ""sourceEndMs"": 131127.687, ""durationMs"": 36666.667, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}, ""tenor_bass"": {""sample"": ""available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-05-tenor-bass.mp3"", ""channelMode"": ""mono_sum"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_TenBass_Primertones_2.mp3"", ""primerStemDurationMs"": 401749.333, ""sourceStartMs"": 94461.02, ""sourceEndMs"": 131127.687, ""durationMs"": 36666.667, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}}",{}
6,46,46,beat3,119.901961,119902,45.833334,165.735295,72.0,3/4,0,3,ELECTRONICS,[],musicxml_tempo_encoded,{},"{""soprano"": {""sample"": ""available-sounds/electronics-trigger-clips/soprano/electronics-trigger-06-soprano.mp3"", ""channelMode"": ""left"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_Sops_Primertones_2.mp3"", ""primerStemDurationMs"": 427391.396, ""sourceStartMs"": 129461.02, ""sourceEndMs"": 175294.354, ""durationMs"": 45833.334, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}, ""alto"": {""sample"": ""available-sounds/electronics-trigger-clips/alto/electronics-trigger-06-alto.mp3"", ""channelMode"": ""right"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_Altos_Primertones_2.mp3"", ""primerStemDurationMs"": 427391.396, ""sourceStartMs"": 129461.02, ""sourceEndMs"": 175294.354, ""durationMs"": 45833.334, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}, ""tenor_bass"": {""sample"": ""available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-06-tenor-bass.mp3"", ""channelMode"": ""mono_sum"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_TenBass_Primertones_2.mp3"", ""primerStemDurationMs"": 401749.333, ""sourceStartMs"": 129461.02, ""sourceEndMs"": 175294.354, ""durationMs"": 45833.334, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}}",{}
7,63,63,beat3,164.068628,164069,40.833333,204.901961,72.0,3/4,0,3,ELECTRONICS,[],musicxml_tempo_encoded,{},"{""soprano"": {""sample"": ""available-sounds/electronics-trigger-clips/soprano/electronics-trigger-07-soprano.mp3"", ""channelMode"": ""left"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_Sops_Primertones_2.mp3"", ""primerStemDurationMs"": 427391.396, ""sourceStartMs"": 173627.687, ""sourceEndMs"": 214461.02, ""durationMs"": 40833.333, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}, ""alto"": {""sample"": ""available-sounds/electronics-trigger-clips/alto/electronics-trigger-07-alto.mp3"", ""channelMode"": ""right"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_Altos_Primertones_2.mp3"", ""primerStemDurationMs"": 427391.396, ""sourceStartMs"": 173627.687, ""sourceEndMs"": 214461.02, ""durationMs"": 40833.333, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}, ""tenor_bass"": {""sample"": ""available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-07-tenor-bass.mp3"", ""channelMode"": ""mono_sum"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_TenBass_Primertones_2.mp3"", ""primerStemDurationMs"": 401749.333, ""sourceStartMs"": 173627.687, ""sourceEndMs"": 214461.02, ""durationMs"": 40833.333, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}}",{}
8,78,78,beat1,203.235294,203235,37.5,240.735294,72.0,4/4,0,3,ELECTRONICS,[],musicxml_tempo_encoded,{},"{""soprano"": {""sample"": ""available-sounds/electronics-trigger-clips/soprano/electronics-trigger-08-soprano.mp3"", ""channelMode"": ""left"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_Sops_Primertones_2.mp3"", ""primerStemDurationMs"": 427391.396, ""sourceStartMs"": 212794.353, ""sourceEndMs"": 250294.353, ""durationMs"": 37500.0, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}, ""alto"": {""sample"": ""available-sounds/electronics-trigger-clips/alto/electronics-trigger-08-alto.mp3"", ""channelMode"": ""right"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_Altos_Primertones_2.mp3"", ""primerStemDurationMs"": 427391.396, ""sourceStartMs"": 212794.353, ""sourceEndMs"": 250294.353, ""durationMs"": 37500.0, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}, ""tenor_bass"": {""sample"": ""available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-08-tenor-bass.mp3"", ""channelMode"": ""mono_sum"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_TenBass_Primertones_2.mp3"", ""primerStemDurationMs"": 401749.333, ""sourceStartMs"": 212794.353, ""sourceEndMs"": 250294.353, ""durationMs"": 37500.0, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}}",{}
9,89,89,beat1,239.068627,239069,31.666667,270.735294,72.0,4/4,0,3,ELECTRONICS,[],musicxml_tempo_encoded,{},"{""soprano"": {""sample"": ""available-sounds/electronics-trigger-clips/soprano/electronics-trigger-09-soprano.mp3"", ""channelMode"": ""left"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_Sops_Primertones_2.mp3"", ""primerStemDurationMs"": 427391.396, ""sourceStartMs"": 248627.686, ""sourceEndMs"": 280294.353, ""durationMs"": 31666.667, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}, ""alto"": {""sample"": ""available-sounds/electronics-trigger-clips/alto/electronics-trigger-09-alto.mp3"", ""channelMode"": ""right"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_Altos_Primertones_2.mp3"", ""primerStemDurationMs"": 427391.396, ""sourceStartMs"": 248627.686, ""sourceEndMs"": 280294.353, ""durationMs"": 31666.667, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}, ""tenor_bass"": {""sample"": ""available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-09-tenor-bass.mp3"", ""channelMode"": ""mono_sum"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_TenBass_Primertones_2.mp3"", ""primerStemDurationMs"": 401749.333, ""sourceStartMs"": 248627.686, ""sourceEndMs"": 280294.353, ""durationMs"": 31666.667, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}}",{}
10,98,98,beat1,269.068627,269069,21.666667,290.735294,72.0,4/4,0,3,ELECTRONICS,[],musicxml_tempo_encoded,{},"{""soprano"": {""sample"": ""available-sounds/electronics-trigger-clips/soprano/electronics-trigger-10-soprano.mp3"", ""channelMode"": ""left"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_Sops_Primertones_2.mp3"", ""primerStemDurationMs"": 427391.396, ""sourceStartMs"": 278627.686, ""sourceEndMs"": 300294.353, ""durationMs"": 21666.667, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}, ""alto"": {""sample"": ""available-sounds/electronics-trigger-clips/alto/electronics-trigger-10-alto.mp3"", ""channelMode"": ""right"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_Altos_Primertones_2.mp3"", ""primerStemDurationMs"": 427391.396, ""sourceStartMs"": 278627.686, ""sourceEndMs"": 300294.353, ""durationMs"": 21666.667, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}, ""tenor_bass"": {""sample"": ""available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-10-tenor-bass.mp3"", ""channelMode"": ""mono_sum"", ""sourceFile"": ""composite:full_electronics+family_primer_stem"", ""electronicsSourceFile"": ""DAW-Production/Exports/electronics/2026_0314_FlashlightsInTheDark_Electronics-StereoSum_7.mp3"", ""primerStemSourceFile"": ""DAW-Production/Exports/primer-stems/2026_0316_TenBass_Primertones_2.mp3"", ""primerStemDurationMs"": 401749.333, ""sourceStartMs"": 278627.686, ""sourceEndMs"": 300294.353, ""durationMs"": 21666.667, ""fadeInMs"": 20.0, ""fadeOutMs"": 1666.667, ""timingRule"": ""trigger_to_next_trigger_plus_two_beats""}}",{}
