Source Score,Flashlights-ITD_EventRecipes_4_2026_0309/FlashlightsInTheDark_v26_NewerScoreWithFewerParts.musicxml
Trigger Position Source,Flashlights-ITD_EventRecipes_4_2026_0309/official_trigger_positions.csv
Trigger Timing Note,These measure/position values are the official trigger points from docs/reference-images/official-trigger-score/Flashlights_OfficialEventPositions_pg1.jpeg and docs/reference-images/official-trigger-score/Flashlights_OfficialEventPositions_pg2.jpeg. They are intentionally early relative to sung-note onsets to accommodate roughly half-note rehearsal latency and the short-primer eighth-note lead.
Assignment Rule,Official trigger positions with active light-chorus pitches sampled top-to-bottom per reduced staff; duplicate the lowest available layer when fewer than three pitches sound.

,Event #,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192
,Measure #,1,2,4,4,4,5,6,7,10,11,11,12,13,13,15,15,16,17,18,20,22,22,24,24,25,27,28,31,32,32,34,35,35,36,37,38,38,38,38,39,39,39,39,40,40,40,41,41,42,42,43,43,44,45,48,48,49,49,50,50,51,51,52,52,52,52,53,54,54,54,54,55,55,55,55,55,56,56,56,56,56,56,57,57,57,57,58,58,60,61,61,61,61,62,63,65,66,66,67,67,67,67,68,68,68,69,69,69,69,69,69,69,69,69,70,70,70,71,73,74,77,77,78,78,80,89,97,98,98,98,98,99,99,99,99,100,100,100,100,100,101,101,101,101,102,102,102,102,102,102,102,103,103,103,103,104,107,112,115,116,116,117,118,119,120,120,121,122,122,124,124,125,126,127,127,127,128,129,129,130,131,132,132,133,134,135,135,137,138,138,139,140
,Position (beat),1-of-4,1-of-4,1-of-4,3-of-4,4-of-4,1-of-4,1-of-4,3-of-4,1-of-4,1-of-4,4-of-4,1-of-4,1-of-4,3-of-4,1-of-4,4-of-4,2-of-4,1-of-4,3-of-4,1-of-4,2+3/8-of-4,3-of-4,1-of-4,2-of-4,2-of-4,3-of-4,3-of-4,1+1/2-of-4,2+1/2-of-3,3+1/2-of-3,3-of-3,1+1/2-of-3,2-of-3,2-of-4,4+1/2-of-4,2-of-4,2+1/2-of-4,3+1/2-of-4,4-of-4,1-of-4,2-of-4,3-of-4,4-of-4,1+1/2-of-4,2-of-4,3-of-4,1-of-4,4+1/2-of-4,2-of-4,4+1/2-of-4,1-of-4,4-of-4,2-of-4,1-of-4,2-of-3,3-of-3,1+1/2-of-3,3-of-3,1-of-3,3-of-3,1-of-4,1+1/2-of-4,1+1/2-of-3,2-of-3,2+1/2-of-3,3+1/2-of-3,2-of-3,1-of-3,1+1/2-of-3,2+1/2-of-3,3-of-3,1-of-3,1+1/2-of-3,2-of-3,2+1/2-of-3,3+1/2-of-3,1-of-3,1+1/2-of-3,2-of-3,2+1/2-of-3,3-of-3,3+1/2-of-3,1-of-3,1+1/2-of-3,2-of-3,3-of-3,1+1/2-of-3,2-of-3,4+1/2-of-4,1+2/7-of-4,1+1/2-of-4,3-of-4,3+1/2-of-4,3-of-3,3-of-3,2-of-3,3-of-4,3+1/2-of-4,2-of-4,2+1/2-of-4,3+2/7-of-4,3+1/2-of-4,3-of-4,3+1/2-of-4,4+1/4-of-4,1-of-4,1+1/2-of-4,2-of-4,2+1/2-of-4,2+3/4-of-4,3-of-4,3+3/4-of-4,4-of-4,4+1/2-of-4,1-of-3,2-of-3,3-of-3,2-of-3,1-of-3,2-of-2,1+1/2-of-4,3+1/2-of-4,1+1/2-of-4,3-of-4,1-of-3,1-of-4,3+1/2-of-4,1-of-4,2-of-4,3-of-4,4-of-4,1-of-4,2-of-4,3-of-4,4-of-4,1-of-4,1+1/2-of-4,2-of-4,3-of-4,4-of-4,1-of-4,2-of-4,3-of-4,3+1/2-of-4,1-of-4,2-of-4,2+1/2-of-4,3-of-4,3+1/2-of-4,4-of-4,4+1/2-of-4,2-of-4,2+1/2-of-4,3-of-4,3+1/2-of-4,1-of-4,1-of-4,1-of-4,3-of-4,2-of-4,3-of-4,3-of-3,2-of-4,2-of-3,2-of-3,3-of-3,1-of-3,1-of-3,3-of-3,1-of-3,3-of-3,1+1/2-of-3,1-of-3,1-of-3,1+1/2-of-3,3-of-3,2-of-3,2-of-3,3-of-3,2+1/2-of-3,1+1/2-of-3,1+1/2-of-3,2+1/2-of-3,2+1/2-of-3,3+1/2-of-3,1+1/2-of-3,3-of-3,2+1/2-of-3,2-of-3,3+1/2-of-3,2+1/2-of-3,2-of-3
,Official Trigger Point (measure+beat),m1 1-of-4,m2 1-of-4,m4 1-of-4,m4 3-of-4,m4 4-of-4,m5 1-of-4,m6 1-of-4,m7 3-of-4,m10 1-of-4,m11 1-of-4,m11 4-of-4,m12 1-of-4,m13 1-of-4,m13 3-of-4,m15 1-of-4,m15 4-of-4,m16 2-of-4,m17 1-of-4,m18 3-of-4,m20 1-of-4,m22 2+3/8-of-4,m22 3-of-4,m24 1-of-4,m24 2-of-4,m25 2-of-4,m27 3-of-4,m28 3-of-4,m31 1+1/2-of-4,m32 2+1/2-of-3,m32 3+1/2-of-3,m34 3-of-3,m35 1+1/2-of-3,m35 2-of-3,m36 2-of-4,m37 4+1/2-of-4,m38 2-of-4,m38 2+1/2-of-4,m38 3+1/2-of-4,m38 4-of-4,m39 1-of-4,m39 2-of-4,m39 3-of-4,m39 4-of-4,m40 1+1/2-of-4,m40 2-of-4,m40 3-of-4,m41 1-of-4,m41 4+1/2-of-4,m42 2-of-4,m42 4+1/2-of-4,m43 1-of-4,m43 4-of-4,m44 2-of-4,m45 1-of-4,m48 2-of-3,m48 3-of-3,m49 1+1/2-of-3,m49 3-of-3,m50 1-of-3,m50 3-of-3,m51 1-of-4,m51 1+1/2-of-4,m52 1+1/2-of-3,m52 2-of-3,m52 2+1/2-of-3,m52 3+1/2-of-3,m53 2-of-3,m54 1-of-3,m54 1+1/2-of-3,m54 2+1/2-of-3,m54 3-of-3,m55 1-of-3,m55 1+1/2-of-3,m55 2-of-3,m55 2+1/2-of-3,m55 3+1/2-of-3,m56 1-of-3,m56 1+1/2-of-3,m56 2-of-3,m56 2+1/2-of-3,m56 3-of-3,m56 3+1/2-of-3,m57 1-of-3,m57 1+1/2-of-3,m57 2-of-3,m57 3-of-3,m58 1+1/2-of-3,m58 2-of-3,m60 4+1/2-of-4,m61 1+2/7-of-4,m61 1+1/2-of-4,m61 3-of-4,m61 3+1/2-of-4,m62 3-of-3,m63 3-of-3,m65 2-of-3,m66 3-of-4,m66 3+1/2-of-4,m67 2-of-4,m67 2+1/2-of-4,m67 3+2/7-of-4,m67 3+1/2-of-4,m68 3-of-4,m68 3+1/2-of-4,m68 4+1/4-of-4,m69 1-of-4,m69 1+1/2-of-4,m69 2-of-4,m69 2+1/2-of-4,m69 2+3/4-of-4,m69 3-of-4,m69 3+3/4-of-4,m69 4-of-4,m69 4+1/2-of-4,m70 1-of-3,m70 2-of-3,m70 3-of-3,m71 2-of-3,m73 1-of-3,m74 2-of-2,m77 1+1/2-of-4,m77 3+1/2-of-4,m78 1+1/2-of-4,m78 3-of-4,m80 1-of-3,m89 1-of-4,m97 3+1/2-of-4,m98 1-of-4,m98 2-of-4,m98 3-of-4,m98 4-of-4,m99 1-of-4,m99 2-of-4,m99 3-of-4,m99 4-of-4,m100 1-of-4,m100 1+1/2-of-4,m100 2-of-4,m100 3-of-4,m100 4-of-4,m101 1-of-4,m101 2-of-4,m101 3-of-4,m101 3+1/2-of-4,m102 1-of-4,m102 2-of-4,m102 2+1/2-of-4,m102 3-of-4,m102 3+1/2-of-4,m102 4-of-4,m102 4+1/2-of-4,m103 2-of-4,m103 2+1/2-of-4,m103 3-of-4,m103 3+1/2-of-4,m104 1-of-4,m107 1-of-4,m112 1-of-4,m115 3-of-4,m116 2-of-4,m116 3-of-4,m117 3-of-3,m118 2-of-4,m119 2-of-3,m120 2-of-3,m120 3-of-3,m121 1-of-3,m122 1-of-3,m122 3-of-3,m124 1-of-3,m124 3-of-3,m125 1+1/2-of-3,m126 1-of-3,m127 1-of-3,m127 1+1/2-of-3,m127 3-of-3,m128 2-of-3,m129 2-of-3,m129 3-of-3,m130 2+1/2-of-3,m131 1+1/2-of-3,m132 1+1/2-of-3,m132 2+1/2-of-3,m133 2+1/2-of-3,m134 3+1/2-of-3,m135 1+1/2-of-3,m135 3-of-3,m137 2+1/2-of-3,m138 2-of-3,m138 3+1/2-of-3,m139 2+1/2-of-3,m140 2-of-3
,Sample Length,,,,,,,,,,LONG,,,LONG,LONG,LONG,LONG,,LONG,LONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LONG,LONG,LONG,,,,,,,,,,,,,,,,,,,,,LONG,LONG,LONG,LONG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Sop L1: Slots 16,29,44 [Green]",,,primerTones/short29.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short37.mp3,,primerTones/short31.mp3,,,primerTones/short47.mp3,,primerTones/long97.mp3,primerTones/long97.mp3,primerTones/long95.mp3,primerTones/long95.mp3,primerTones/short45.mp3,,primerTones/long92.mp3,primerTones/short41.mp3,,,,,,,,primerTones/short43.mp3,primerTones/short43.mp3,primerTones/short43.mp3,primerTones/short43.mp3,primerTones/short43.mp3,primerTones/short43.mp3,primerTones/short43.mp3,,primerTones/short38.mp3,primerTones/short42.mp3,primerTones/short35.mp3,primerTones/short36.mp3,primerTones/short41.mp3,primerTones/short41.mp3,primerTones/short36.mp3,primerTones/short40.mp3,primerTones/short45.mp3,primerTones/short45.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short32.mp3,primerTones/short32.mp3,primerTones/short32.mp3,,,primerTones/short38.mp3,primerTones/short29.mp3,primerTones/short38.mp3,primerTones/short31.mp3,primerTones/short36.mp3,primerTones/short41.mp3,primerTones/short40.mp3,primerTones/short28.mp3,primerTones/short31.mp3,primerTones/short41.mp3,,primerTones/short43.mp3,primerTones/short45.mp3,primerTones/short46.mp3,primerTones/short29.mp3,primerTones/short36.mp3,primerTones/short38.mp3,primerTones/short40.mp3,primerTones/short40.mp3,primerTones/short41.mp3,primerTones/short41.mp3,primerTones/short43.mp3,primerTones/short43.mp3,primerTones/short45.mp3,primerTones/short45.mp3,primerTones/short47.mp3,primerTones/short47.mp3,primerTones/short47.mp3,primerTones/short47.mp3,primerTones/short47.mp3,primerTones/short47.mp3,,,,,,,,,,,,,primerTones/short39.mp3,primerTones/short30.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short44.mp3,primerTones/short36.mp3,primerTones/short33.mp3,primerTones/short37.mp3,primerTones/short39.mp3,primerTones/short39.mp3,primerTones/short39.mp3,primerTones/short42.mp3,primerTones/short39.mp3,primerTones/short39.mp3,primerTones/short39.mp3,primerTones/short40.mp3,primerTones/short40.mp3,primerTones/short40.mp3,primerTones/long90.mp3,primerTones/long88.mp3,primerTones/long84.mp3,primerTones/long89.mp3,primerTones/short38.mp3,primerTones/short43.mp3,primerTones/short44.mp3,primerTones/short44.mp3,primerTones/short44.mp3,,primerTones/short40.mp3,primerTones/short41.mp3,primerTones/short41.mp3,primerTones/short41.mp3,primerTones/short41.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short40.mp3,primerTones/short40.mp3,primerTones/short40.mp3,primerTones/short40.mp3,primerTones/short40.mp3,,,primerTones/short36.mp3,primerTones/short36.mp3,primerTones/short37.mp3,primerTones/short41.mp3,primerTones/short43.mp3,primerTones/short45.mp3,primerTones/short45.mp3,primerTones/short45.mp3,,primerTones/short38.mp3,primerTones/short46.mp3,primerTones/short26.mp3,primerTones/short27.mp3,primerTones/short24.mp3,primerTones/short26.mp3,primerTones/short27.mp3,primerTones/short24.mp3,primerTones/short26.mp3,primerTones/short27.mp3,primerTones/short24.mp3,primerTones/short26.mp3,primerTones/short27.mp3,primerTones/short24.mp3,,,,,,,,,,primerTones/short28.mp3,primerTones/short31.mp3,primerTones/short25.mp3,primerTones/short28.mp3,primerTones/short31.mp3,primerTones/short25.mp3,primerTones/short28.mp3,primerTones/short31.mp3,primerTones/short25.mp3,primerTones/short28.mp3,primerTones/short31.mp3,primerTones/short25.mp3,primerTones/short25.mp3
,CorrespondingNote Sop L1 [Green],,,F4,Db5,Db5,Db5,,G4,,,B5,,B5,B5,A5,A5,A5,,F#5,F5,,,,,,,,G5,G5,G5,G5,G5,G5,G5,,D5,F#5,B4,C5,F5,F5,C5,E5,A5,A5,C#5,C#5,C#5,G#4,G#4,G#4,,,D5,F4,D5,G4,C5,F5,E5,E4,G4,F5,,G5,A5,Bb5,F4,C5,D5,E5,E5,F5,F5,G5,G5,A5,A5,B5,B5,B5,B5,B5,B5,,,,,,,,,,,,,D#5,F#4,C#5,C#5,C#5,C#5,G#5,B#4,A4,C#5,D#5,D#5,D#5,F#5,D#5,D#5,D#5,E5,E5,E5,E5,D5,Bb4,D#5,D5,G5,G#5,G#5,G#5,,E5,F5,F5,F5,F5,Db5,Db5,Db5,Db5,Db5,Db5,Db5,Db5,Db5,E5,E5,E5,E5,E5,,,C5,C5,Db5,F5,G5,A5,A5,A5,,D5,Bb5,D4,Eb4,C4,D4,Eb4,C4,D4,Eb4,C4,D4,Eb4,C4,,,,,,,,,,E4,G4,C#4,E4,G4,C#4,E4,G4,C#4,E4,G4,Db4,C#4
,"Sop L2: Slots 12,24,25 [Magenta] | Slots 23,38,51 [Orange]",,,primerTones/short29.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short37.mp3,,primerTones/short26.mp3,,,Magenta: primerTones/short40.mp3 | Orange: primerTones/short35.mp3,,Magenta: primerTones/long90.mp3 | Orange: primerTones/long85.mp3,Magenta: primerTones/long90.mp3 | Orange: primerTones/long85.mp3,Magenta: primerTones/long90.mp3 | Orange: primerTones/long83.mp3,Magenta: primerTones/long91.mp3 | Orange: primerTones/long83.mp3,primerTones/short33.mp3,,primerTones/long88.mp3,primerTones/short41.mp3,,,,,,,,primerTones/short39.mp3,primerTones/short40.mp3,primerTones/short39.mp3,primerTones/short36.mp3,primerTones/short38.mp3,primerTones/short38.mp3,primerTones/short36.mp3,,primerTones/short38.mp3,primerTones/short42.mp3,primerTones/short35.mp3,primerTones/short34.mp3,primerTones/short34.mp3,primerTones/short34.mp3,primerTones/short36.mp3,primerTones/short36.mp3,primerTones/short45.mp3,primerTones/short40.mp3,primerTones/short36.mp3,primerTones/short36.mp3,primerTones/short35.mp3,primerTones/short32.mp3,primerTones/short32.mp3,primerTones/short32.mp3,,,primerTones/short34.mp3,primerTones/short29.mp3,primerTones/short29.mp3,primerTones/short29.mp3,primerTones/short28.mp3,primerTones/short26.mp3,primerTones/short29.mp3,primerTones/short28.mp3,primerTones/short26.mp3,primerTones/short34.mp3,,primerTones/short36.mp3,primerTones/short38.mp3,primerTones/short41.mp3,primerTones/short28.mp3,primerTones/short36.mp3,primerTones/short36.mp3,primerTones/short36.mp3,primerTones/short36.mp3,primerTones/short38.mp3,primerTones/short38.mp3,primerTones/short36.mp3,primerTones/short36.mp3,primerTones/short43.mp3,primerTones/short43.mp3,primerTones/short43.mp3,primerTones/short41.mp3,primerTones/short41.mp3,primerTones/short41.mp3,primerTones/short41.mp3,primerTones/short41.mp3,,,,,,,,,,,,,primerTones/short39.mp3,primerTones/short30.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short44.mp3,primerTones/short36.mp3,primerTones/short33.mp3,primerTones/short37.mp3,primerTones/short39.mp3,primerTones/short39.mp3,primerTones/short39.mp3,primerTones/short42.mp3,primerTones/short39.mp3,primerTones/short39.mp3,primerTones/short39.mp3,primerTones/short39.mp3,primerTones/short40.mp3,primerTones/short40.mp3,primerTones/long90.mp3,primerTones/long80.mp3,primerTones/long81.mp3,primerTones/long82.mp3,primerTones/short35.mp3,primerTones/short40.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short37.mp3,,primerTones/short40.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short36.mp3,primerTones/short36.mp3,primerTones/short36.mp3,primerTones/short36.mp3,primerTones/short36.mp3,primerTones/short33.mp3,primerTones/short33.mp3,primerTones/short33.mp3,primerTones/short33.mp3,primerTones/short32.mp3,primerTones/short36.mp3,primerTones/short36.mp3,primerTones/short36.mp3,primerTones/short36.mp3,primerTones/short36.mp3,,,primerTones/short36.mp3,primerTones/short36.mp3,primerTones/short36.mp3,primerTones/short36.mp3,primerTones/short41.mp3,primerTones/short41.mp3,primerTones/short41.mp3,primerTones/short41.mp3,,primerTones/short33.mp3,primerTones/short32.mp3,primerTones/short26.mp3,primerTones/short27.mp3,primerTones/short24.mp3,primerTones/short26.mp3,primerTones/short27.mp3,primerTones/short24.mp3,primerTones/short26.mp3,primerTones/short27.mp3,primerTones/short24.mp3,primerTones/short26.mp3,primerTones/short27.mp3,primerTones/short24.mp3,,,,,,,,,,primerTones/short28.mp3,primerTones/short31.mp3,primerTones/short25.mp3,primerTones/short28.mp3,primerTones/short31.mp3,primerTones/short25.mp3,primerTones/short28.mp3,primerTones/short31.mp3,primerTones/short25.mp3,primerTones/short28.mp3,primerTones/short31.mp3,primerTones/short25.mp3,primerTones/short25.mp3
,CorrespondingNote Sop L2 [Magenta/Orange],,,F4,Db5,Db5,Db5,,D4,,,Magenta: E5 | Orange: B4,,Magenta: E5 | Orange: B4,Magenta: E5 | Orange: B4,Magenta: E5 | Orange: A4,Magenta: F5 | Orange: A4,A4,,D5,F5,,,,,,,,Eb5,E5,Eb5,C5,D5,D5,C5,,D5,F#5,B4,Bb4,Bb4,Bb4,C5,C5,A5,E5,B#4,B#4,B4,G#4,G#4,G#4,,,A#4,F4,F4,F4,E4,D4,F4,E4,D4,Bb4,,C5,D5,F5,E4,C5,C5,C5,C5,D5,D5,C5,C5,G5,G5,G5,F5,F5,F5,F5,F5,,,,,,,,,,,,,D#5,F#4,C#5,C#5,C#5,C#5,G#5,B#4,A4,C#5,D#5,D#5,D#5,F#5,D#5,D#5,D#5,D#5,E5,E5,E5,F#4,G4,G#4,B4,E5,C#5,C#5,C#5,,E5,Db5,Db5,Db5,C5,C5,C5,C5,C5,Bbb4,Bbb4,Bbb4,Bbb4,Ab4,C5,C5,C5,C5,C5,,,C5,C5,C5,C5,F5,F5,F5,F5,,A4,Ab4,D4,Eb4,C4,D4,Eb4,C4,D4,Eb4,C4,D4,Eb4,C4,,,,,,,,,,E4,G4,C#4,E4,G4,C#4,E4,G4,C#4,E4,G4,Db4,C#4
,"Alto L1: Slots 27,41,42 [Blue]",,primerTones/short27.mp3,primerTones/short26.mp3,primerTones/short25.mp3,primerTones/short25.mp3,primerTones/short25.mp3,,primerTones/short22.mp3,primerTones/short17.mp3,primerTones/long73.mp3,primerTones/short39.mp3,,primerTones/long89.mp3,primerTones/long89.mp3,primerTones/long83.mp3,primerTones/long83.mp3,primerTones/short33.mp3,primerTones/long81.mp3,primerTones/long83.mp3,primerTones/short29.mp3,,,primerTones/short19.mp3,primerTones/short22.mp3,primerTones/short33.mp3,,primerTones/short18.mp3,primerTones/short36.mp3,primerTones/short38.mp3,primerTones/short36.mp3,primerTones/short28.mp3,primerTones/short31.mp3,primerTones/short31.mp3,primerTones/short32.mp3,,primerTones/short34.mp3,primerTones/short31.mp3,primerTones/short31.mp3,primerTones/short31.mp3,primerTones/short31.mp3,primerTones/short30.mp3,primerTones/short29.mp3,,,primerTones/short33.mp3,primerTones/short25.mp3,primerTones/short25.mp3,primerTones/short25.mp3,primerTones/short25.mp3,primerTones/short25.mp3,primerTones/short25.mp3,,,primerTones/short32.mp3,primerTones/short28.mp3,primerTones/short26.mp3,primerTones/short22.mp3,primerTones/short28.mp3,primerTones/short26.mp3,primerTones/short24.mp3,primerTones/short21.mp3,primerTones/short20.mp3,primerTones/short31.mp3,,primerTones/short32.mp3,primerTones/short35.mp3,primerTones/short36.mp3,primerTones/short29.mp3,primerTones/short29.mp3,primerTones/short29.mp3,primerTones/short29.mp3,primerTones/short29.mp3,primerTones/short41.mp3,primerTones/short41.mp3,primerTones/short41.mp3,primerTones/short41.mp3,primerTones/short41.mp3,primerTones/short41.mp3,primerTones/short41.mp3,primerTones/short41.mp3,primerTones/short41.mp3,primerTones/short36.mp3,primerTones/short38.mp3,primerTones/short43.mp3,,,,primerTones/short29.mp3,primerTones/short31.mp3,primerTones/short34.mp3,primerTones/short30.mp3,primerTones/short28.mp3,primerTones/short22.mp3,,,,,,,,,primerTones/short21.mp3,primerTones/short21.mp3,primerTones/short21.mp3,,,,,,,,,,primerTones/short28.mp3,primerTones/short28.mp3,primerTones/short28.mp3,primerTones/long78.mp3,primerTones/long80.mp3,primerTones/long80.mp3,primerTones/long82.mp3,primerTones/short35.mp3,primerTones/short31.mp3,primerTones/short32.mp3,primerTones/short33.mp3,primerTones/short33.mp3,,,primerTones/short28.mp3,primerTones/short30.mp3,primerTones/short30.mp3,primerTones/short30.mp3,primerTones/short30.mp3,primerTones/short30.mp3,primerTones/short30.mp3,primerTones/short30.mp3,primerTones/short30.mp3,primerTones/short30.mp3,primerTones/short30.mp3,primerTones/short29.mp3,primerTones/short30.mp3,primerTones/short30.mp3,primerTones/short32.mp3,primerTones/short30.mp3,primerTones/short30.mp3,primerTones/short33.mp3,primerTones/short33.mp3,primerTones/short33.mp3,primerTones/short33.mp3,primerTones/short33.mp3,primerTones/short33.mp3,primerTones/short33.mp3,primerTones/short36.mp3,primerTones/short37.mp3,primerTones/short37.mp3,primerTones/short37.mp3,,primerTones/short33.mp3,primerTones/short32.mp3,primerTones/short24.mp3,primerTones/short26.mp3,primerTones/short22.mp3,primerTones/short24.mp3,primerTones/short26.mp3,primerTones/short22.mp3,primerTones/short24.mp3,primerTones/short26.mp3,primerTones/short22.mp3,primerTones/short24.mp3,primerTones/short26.mp3,primerTones/short22.mp3,primerTones/short23.mp3,primerTones/short24.mp3,primerTones/short21.mp3,primerTones/short23.mp3,primerTones/short24.mp3,primerTones/short21.mp3,primerTones/short23.mp3,primerTones/short24.mp3,primerTones/short21.mp3,primerTones/short20.mp3,primerTones/short22.mp3,primerTones/short19.mp3,primerTones/short20.mp3,primerTones/short22.mp3,primerTones/short19.mp3,primerTones/short20.mp3,primerTones/short22.mp3,primerTones/short19.mp3,primerTones/short20.mp3,primerTones/short22.mp3,primerTones/short19.mp3,primerTones/short21.mp3
,CorrespondingNote Alto L1 [Blue],,Eb4,D4,Db4,Db4,Db4,,Bb3,F3,B3,D#5,,D#5,D#5,A4,A4,A4,G4,A4,F4,,,G3,Bb3,A4,,F#3,C5,D5,C5,E4,G4,G4,Ab4,,Bb4,G4,G4,G4,G4,Gb4,F4,,,A4,Db4,Db4,Db4,Db4,Db4,Db4,,,G#4,E4,D4,Bb3,E4,D4,C4,A3,Ab3,G4,,Ab4,B4,C5,F4,F4,F4,F4,F4,F5,F5,F5,F5,F5,F5,F5,F5,F5,C5,D5,G5,,,,F4,G4,Bb4,F#4,E4,Bb3,,,,,,,,,A3,A3,A3,,,,,,,,,,E4,E4,E4,E4,F#4,F#4,G#4,B4,G4,G#4,A4,A4,,,Fb4,Gb4,Gb4,Gb4,Gb4,Gb4,Gb4,Gb4,Gb4,Gb4,Gb4,F4,Gb4,Gb4,Ab4,Gb4,Gb4,Bbb4,Bbb4,Bbb4,Bbb4,Bbb4,Bbb4,Bbb4,Dbb5,Db5,Db5,Db5,,A4,Ab4,C4,D4,Bb3,C4,D4,Bb3,C4,D4,Bb3,C4,D4,Bb3,B3,C4,A3,B3,C4,A3,B3,C4,A3,Ab3,Bb3,G3,Ab3,Bb3,G3,Ab3,Bb3,G3,Ab3,Bb3,G3,A3
