event_id,measure,position,official_trigger_point
1,1,1-of-4,m1 1-of-4
2,2,1-of-4,m2 1-of-4
3,4,1-of-4,m4 1-of-4
4,4,3-of-4,m4 3-of-4
5,4,4-of-4,m4 4-of-4
6,5,1-of-4,m5 1-of-4
7,6,1-of-4,m6 1-of-4
8,7,3-of-4,m7 3-of-4
9,10,1-of-4,m10 1-of-4
10,11,1-of-4,m11 1-of-4
11,11,4-of-4,m11 4-of-4
12,12,1-of-4,m12 1-of-4
13,13,1-of-4,m13 1-of-4
14,13,3-of-4,m13 3-of-4
15,15,1-of-4,m15 1-of-4
16,15,4-of-4,m15 4-of-4
17,16,2-of-4,m16 2-of-4
18,17,1-of-4,m17 1-of-4
19,18,3-of-4,m18 3-of-4
20,20,1-of-4,m20 1-of-4
21,22,2+3/8-of-4,m22 2+3/8-of-4
22,22,3-of-4,m22 3-of-4
23,24,1-of-4,m24 1-of-4
24,24,2-of-4,m24 2-of-4
25,25,2-of-4,m25 2-of-4
26,27,3-of-4,m27 3-of-4
27,28,3-of-4,m28 3-of-4
28,31,1+1/2-of-4,m31 1+1/2-of-4
29,32,2+1/2-of-3,m32 2+1/2-of-3
30,32,3+1/2-of-3,m32 3+1/2-of-3
31,34,3-of-3,m34 3-of-3
32,35,1+1/2-of-3,m35 1+1/2-of-3
33,35,2-of-3,m35 2-of-3
34,36,2-of-4,m36 2-of-4
35,37,4+1/2-of-4,m37 4+1/2-of-4
36,38,2-of-4,m38 2-of-4
37,38,2+1/2-of-4,m38 2+1/2-of-4
38,38,3+1/2-of-4,m38 3+1/2-of-4
39,38,4-of-4,m38 4-of-4
40,39,1-of-4,m39 1-of-4
41,39,2-of-4,m39 2-of-4
42,39,3-of-4,m39 3-of-4
43,39,4-of-4,m39 4-of-4
44,40,1+1/2-of-4,m40 1+1/2-of-4
45,40,2-of-4,m40 2-of-4
46,40,3-of-4,m40 3-of-4
47,41,1-of-4,m41 1-of-4
48,41,4+1/2-of-4,m41 4+1/2-of-4
49,42,2-of-4,m42 2-of-4
50,42,4+1/2-of-4,m42 4+1/2-of-4
51,43,1-of-4,m43 1-of-4
52,43,4-of-4,m43 4-of-4
53,44,2-of-4,m44 2-of-4
54,45,1-of-4,m45 1-of-4
55,48,2-of-3,m48 2-of-3
56,48,3-of-3,m48 3-of-3
57,49,1+1/2-of-3,m49 1+1/2-of-3
58,49,3-of-3,m49 3-of-3
59,50,1-of-3,m50 1-of-3
60,50,3-of-3,m50 3-of-3
61,51,1-of-4,m51 1-of-4
62,51,1+1/2-of-4,m51 1+1/2-of-4
63,52,1+1/2-of-3,m52 1+1/2-of-3
64,52,2-of-3,m52 2-of-3
65,52,2+1/2-of-3,m52 2+1/2-of-3
66,52,3+1/2-of-3,m52 3+1/2-of-3
67,53,2-of-3,m53 2-of-3
68,54,1-of-3,m54 1-of-3
69,54,1+1/2-of-3,m54 1+1/2-of-3
70,54,2+1/2-of-3,m54 2+1/2-of-3
71,54,3-of-3,m54 3-of-3
72,55,1-of-3,m55 1-of-3
73,55,1+1/2-of-3,m55 1+1/2-of-3
74,55,2-of-3,m55 2-of-3
75,55,2+1/2-of-3,m55 2+1/2-of-3
76,55,3+1/2-of-3,m55 3+1/2-of-3
77,56,1-of-3,m56 1-of-3
78,56,1+1/2-of-3,m56 1+1/2-of-3
79,56,2-of-3,m56 2-of-3
80,56,2+1/2-of-3,m56 2+1/2-of-3
81,56,3-of-3,m56 3-of-3
82,56,3+1/2-of-3,m56 3+1/2-of-3
83,57,1-of-3,m57 1-of-3
84,57,1+1/2-of-3,m57 1+1/2-of-3
85,57,2-of-3,m57 2-of-3
86,57,3-of-3,m57 3-of-3
87,58,1+1/2-of-3,m58 1+1/2-of-3
88,58,2-of-3,m58 2-of-3
89,60,4+1/2-of-4,m60 4+1/2-of-4
90,61,1+2/7-of-4,m61 1+2/7-of-4
91,61,1+1/2-of-4,m61 1+1/2-of-4
92,61,3-of-4,m61 3-of-4
93,61,3+1/2-of-4,m61 3+1/2-of-4
94,62,3-of-3,m62 3-of-3
95,63,3-of-3,m63 3-of-3
