source,time_seconds,strength
full_piece,10.090667,0.000000
full_piece,10.677333,0.019506
full_piece,11.274667,0.000000
full_piece,11.861333,0.116776
full_piece,23.626667,0.038814
full_piece,24.213333,0.000000
full_piece,25.973333,0.071280
full_piece,28.330667,0.167445
full_piece,30.677334,0.000000
full_piece,33.482666,0.000579
full_piece,34.805332,0.151541
full_piece,35.391998,0.584807
full_piece,37.450668,0.817191
full_piece,38.634666,0.137865
full_piece,40.096001,0.392119
full_piece,43.338665,0.143516
full_piece,48.917332,0.273726
full_piece,49.514668,0.879137
full_piece,50.101334,0.089598
full_piece,51.861332,0.351382
full_piece,53.632000,0.000000
full_piece,54.218666,0.000000
full_piece,56.565334,0.197419
full_piece,57.749332,0.145290
full_piece,61.269333,0.243824
full_piece,61.866665,0.089832
full_piece,63.626667,0.035864
full_piece,65.386665,0.032088
full_piece,68.330666,0.139327
full_piece,70.677330,0.437171
full_piece,71.274666,0.248873
full_piece,71.861336,0.065498
full_piece,73.045334,0.604546
full_piece,75.391998,0.466411
full_piece,75.978668,0.077106
full_piece,76.565331,0.295018
full_piece,77.152000,0.413064
full_piece,77.695999,1.000000
full_piece,78.559998,1.000000
full_piece,79.445335,1.000000
full_piece,80.245331,1.000000
full_piece,81.045334,1.000000
full_piece,81.503998,0.249511
full_piece,81.919998,1.000000
full_piece,82.751999,1.000000
full_piece,83.584000,1.000000
full_piece,84.394669,1.000000
full_piece,85.226669,1.000000
full_piece,85.664001,0.559963
full_piece,86.069336,1.000000
full_piece,86.496002,0.555377
full_piece,86.901337,1.000000
full_piece,87.744003,0.144209
full_piece,89.407997,0.912602
full_piece,90.239998,0.577418
full_piece,90.666664,0.205190
full_piece,91.903999,0.330594
full_piece,92.330666,0.230349
full_piece,93.578667,0.210571
full_piece,94.410667,0.842105
full_piece,95.242668,0.590328
full_piece,96.085335,0.084142
full_piece,96.906670,0.170125
full_piece,97.738670,0.108681
full_piece,99.413330,0.091307
full_piece,101.077332,0.645632
full_piece,101.909332,0.183129
full_piece,102.335999,0.000000
full_piece,102.751999,0.029464
full_piece,103.584000,0.156257
full_piece,104.416000,0.090754
full_piece,105.248001,0.221736
full_piece,107.744003,0.108843
full_piece,108.575996,0.002502
full_piece,109.418663,0.065583
full_piece,111.071999,0.233870
full_piece,112.746666,0.116994
full_piece,113.578667,0.210610
full_piece,114.410667,0.720531
full_piece,116.085335,0.000000
full_piece,116.917336,0.151552
full_piece,117.749336,0.673059
full_piece,121.077332,0.161853
full_piece,121.909332,0.357045
full_piece,122.741333,0.008716
full_piece,123.573334,0.400496
full_piece,124.416000,0.990879
full_piece,125.248001,0.163619
full_piece,126.080002,0.146159
full_piece,126.912003,0.477118
full_piece,127.744003,1.000000
full_piece,129.418671,0.171594
full_piece,130.240005,0.000000
full_piece,130.762665,0.933438
full_piece,131.904007,0.499644
full_piece,132.746674,0.333010
full_piece,134.410660,0.108240
full_piece,136.906662,0.110513
full_piece,142.751999,0.213653
full_piece,147.744003,0.000000
full_piece,171.072006,0.036438
full_piece,172.735992,0.000144
full_piece,173.578659,0.020656
full_piece,174.410660,0.154965
full_piece,175.231995,0.170326
full_piece,176.074661,0.231262
full_piece,176.906662,0.380333
full_piece,177.738663,0.456634
full_piece,179.402664,0.501936
full_piece,179.904007,0.247432
full_piece,180.597336,0.000000
full_piece,181.077332,0.199628
full_piece,181.440002,0.000000
full_piece,182.122665,0.020100
full_piece,182.741333,0.036529
full_piece,186.069336,0.390926
full_piece,187.744003,0.000000
full_piece,189.408005,0.115321
full_piece,195.242661,0.406782
full_piece,196.085327,0.622332
full_piece,197.749329,0.136396
full_piece,198.218674,0.000000
full_piece,200.479996,0.000000
full_piece,200.863998,0.120586
full_piece,201.216003,0.120827
full_piece,201.567993,0.118652
full_piece,201.941330,0.173562
full_piece,202.741333,0.034454
full_piece,204.192001,0.254828
full_piece,204.565338,0.144323
full_piece,204.927994,0.019114
full_piece,205.279999,0.000000
full_piece,205.727997,0.000000
full_piece,207.264008,0.030430
full_piece,207.626663,0.000000
full_piece,207.989334,0.087257
full_piece,208.565338,0.000000
full_piece,208.949341,0.237482
full_piece,209.322662,0.114626
full_piece,209.727997,0.213317
full_piece,210.090668,0.000000
full_piece,211.072006,0.000000
full_piece,211.488007,0.000000
full_piece,211.904007,0.062858
full_piece,212.277328,0.088646
full_piece,212.682663,0.084833
full_piece,213.056000,0.049735
full_piece,213.418671,0.182314
full_piece,213.770660,0.041579
full_piece,214.218674,0.580380
full_piece,214.645340,0.928125
full_piece,215.029327,0.167119
full_piece,215.381332,0.676083
full_piece,215.754669,0.000000
full_piece,216.117340,0.736060
full_piece,216.501328,1.000000
full_piece,216.917328,1.000000
full_piece,217.301331,0.422675
full_piece,217.717331,0.871911
full_piece,218.122665,1.000000
full_piece,218.506668,0.737102
full_piece,218.912003,0.472161
full_piece,219.306671,1.000000
full_piece,219.669327,0.089011
full_piece,220.074661,0.065872
full_piece,220.469330,0.058461
full_piece,220.853333,0.015201
full_piece,221.301331,0.557237
full_piece,221.674667,0.340403
full_piece,222.048004,0.128278
full_piece,222.442673,0.158214
full_piece,222.794662,0.758450
full_piece,223.178665,0.759159
full_piece,223.562668,0.126811
full_piece,223.946671,0.098081
full_piece,224.330673,0.194792
full_piece,224.757339,0.073290
full_piece,225.130661,0.020329
full_piece,225.493332,0.089929
full_piece,225.845337,0.003231
full_piece,226.250671,0.111220
full_piece,226.613327,0.320933
full_piece,227.007996,0.029152
full_piece,227.381332,0.081192
full_piece,227.733337,0.035693
full_piece,228.085327,0.260811
full_piece,228.479996,0.040299
full_piece,228.832001,0.042757
full_piece,229.194672,0.285639
full_piece,229.589340,0.192533
full_piece,229.962662,0.084741
full_piece,230.314667,0.115255
full_piece,230.720001,0.136585
full_piece,231.093338,0.188924
full_piece,231.466660,0.137999
full_piece,231.904007,0.268740
full_piece,232.266663,0.389459
full_piece,232.618668,0.000000
full_piece,232.992004,0.521357
full_piece,233.397339,0.006102
full_piece,233.759995,0.085512
full_piece,234.143997,0.391362
full_piece,234.496002,0.071691
full_piece,234.869339,0.040185
full_piece,235.231995,0.240231
full_piece,235.594666,0.610618
full_piece,235.946671,0.108007
full_piece,236.352005,0.574802
full_piece,236.714661,0.073882
full_piece,237.066666,0.228466
full_piece,237.429337,0.077732
full_piece,237.824005,0.175179
full_piece,238.218674,0.000000
full_piece,238.570663,0.499202
full_piece,238.944000,0.142250
full_piece,239.328003,0.000000
full_piece,239.701340,0.081955
full_piece,240.053329,0.899832
full_piece,240.437332,0.210993
full_piece,240.789337,0.013982
full_piece,241.162674,0.107536
full_piece,241.535995,0.166280
full_piece,241.909332,0.577909
full_piece,242.325333,0.074530
full_piece,242.741333,0.419560
full_piece,243.114670,0.163609
full_piece,243.498672,0.075036
full_piece,243.850662,0.065592
full_piece,244.266663,0.000000
full_piece,244.618668,0.251922
full_piece,244.981339,0.466084
full_piece,245.418671,0.386984
full_piece,245.770660,0.000000
full_piece,246.165329,0.341530
full_piece,246.517334,1.000000
full_piece,246.901337,0.447714
full_piece,247.317337,0.859755
full_piece,247.701340,0.995073
full_piece,248.053329,0.021558
full_piece,248.437332,0.051292
full_piece,248.789337,0.094814
full_piece,249.151993,0.388069
full_piece,249.535995,0.319001
full_piece,249.909332,0.322250
full_piece,250.357330,0.785472
full_piece,250.751999,0.000000
full_piece,251.178665,0.005908
full_piece,251.605331,0.077484
full_piece,251.978668,0.204370
full_piece,252.341339,0.257095
full_piece,252.746674,0.167612
full_piece,253.151993,0.025023
full_piece,253.514664,0.120066
full_piece,253.866669,0.634826
full_piece,254.293335,0.000000
full_piece,254.656006,0.638898
full_piece,255.146667,0.240608
full_piece,255.605331,0.565035
full_piece,256.074677,0.149327
full_piece,256.480011,0.000000
full_piece,256.906677,0.183015
full_piece,257.386658,0.106344
full_piece,257.749329,0.519737
full_piece,258.570679,0.414577
full_piece,259.413330,0.240769
full_piece,260.245331,0.000000
full_piece,261.077332,0.281887
full_piece,261.909332,0.814578
full_piece,262.741333,0.457577
full_piece,263.573334,0.479714
full_piece,264.415985,0.990504
full_piece,265.237335,0.542044
full_piece,266.079987,0.174444
full_piece,266.911987,0.058721
full_piece,267.743988,0.323320
full_piece,268.575989,0.900307
full_piece,269.418671,0.538108
full_piece,270.250671,0.552932
full_piece,271.082672,0.114016
full_piece,271.903992,0.432597
full_piece,272.746674,0.115025
full_piece,273.578674,0.281031
full_piece,274.410675,0.066694
full_piece,275.242676,0.704692
full_piece,276.085327,0.734118
full_piece,276.917328,0.322268
full_piece,277.749329,0.230507
full_piece,278.581329,0.434891
full_piece,279.413330,0.000000
full_piece,280.245331,0.321350
full_piece,281.077332,0.492632
full_piece,281.909332,0.869147
full_piece,282.752014,0.530967
full_piece,283.573334,0.447162
full_piece,284.415985,0.549247
full_piece,285.247986,1.000000
full_piece,286.079987,0.211916
full_piece,286.911987,0.331897
full_piece,287.743988,0.401945
full_piece,288.575989,0.677826
full_piece,289.418671,0.315883
full_piece,290.250671,0.399334
full_piece,291.082672,0.025030
full_piece,291.914673,0.845317
full_piece,292.746674,0.055047
full_piece,294.410675,0.311698
full_piece,295.242676,0.477206
full_piece,296.085327,0.472395
full_piece,296.917328,0.000000
full_piece,297.738678,0.218974
full_piece,298.581329,0.775233
full_piece,299.413330,0.940785
full_piece,301.077332,0.211812
full_piece,301.909332,0.860408
full_piece,303.573334,0.154183
full_piece,304.405334,0.368874
full_piece,305.237335,0.830122
full_piece,306.079987,0.914284
full_piece,307.743988,0.144290
full_piece,308.575989,0.757080
full_piece,309.407990,0.363411
full_piece,310.239990,0.602723
full_piece,311.082672,0.914572
full_piece,311.914673,1.000000
full_piece,313.578674,0.419677
full_piece,314.410675,0.550412
full_piece,315.242676,0.422287
full_piece,316.074677,0.504019
full_piece,316.917328,1.000000
full_piece,317.738678,0.000000
full_piece,318.570679,0.311372
full_piece,319.413330,0.528236
full_piece,320.245331,0.774562
full_piece,321.077332,0.436247
full_piece,321.909332,0.497898
full_piece,322.741333,0.404200
full_piece,323.573334,1.000000
full_piece,324.415985,0.677697
full_piece,326.069336,0.000000
full_piece,326.911987,0.732443
full_piece,327.743988,0.445559
full_piece,328.575989,0.582590
full_piece,329.418671,0.726182
full_piece,330.239990,0.375455
full_piece,331.082672,0.308886
full_piece,331.903992,0.206091
full_piece,332.735992,0.215542
full_piece,333.578674,0.692050
full_piece,334.410675,0.006357
full_piece,335.242676,0.383476
full_piece,336.906677,0.513975
full_piece,337.749329,0.177233
full_piece,340.245331,0.587270
full_piece,341.077332,0.273262
full_piece,341.909332,0.488954
full_piece,343.584015,0.385887
full_piece,345.237335,0.254471
full_piece,346.069336,0.638416
full_piece,346.911987,0.341110
full_piece,348.575989,0.612049
full_piece,349.407990,0.302542
full_piece,351.071991,0.118557
full_piece,352.735992,0.164196
full_piece,353.578674,0.544039
full_piece,355.242676,0.439200
full_piece,356.074677,0.010574
full_piece,356.906677,0.165611
full_piece,357.738678,0.227437
full_piece,358.570679,0.604707
full_piece,360.245331,0.173213
full_piece,361.066681,0.012520
full_piece,361.503998,0.143889
full_piece,362.741333,0.199563
full_piece,363.573334,0.387458
full_piece,365.237335,0.279167
full_piece,366.069336,0.323695
full_piece,367.743988,0.234002
full_piece,368.575989,0.087665
full_piece,369.407990,0.214305
full_piece,371.071991,0.414823
full_piece,371.903992,0.018988
full_piece,373.567993,0.121977
full_piece,373.994659,0.104101
full_piece,374.410675,0.018763
full_piece,374.837341,0.017153
full_piece,376.074677,0.486175
full_piece,376.501343,0.070152
full_piece,377.738678,0.196651
full_piece,378.570679,0.608961
full_piece,378.997345,0.150737
full_piece,379.829346,0.000000
full_piece,381.077332,0.094524
full_piece,381.909332,0.135232
full_piece,382.325348,0.000000
full_piece,383.573334,0.321853
full_piece,384.405334,0.123727
full_piece,384.832001,0.010539
full_piece,385.664001,0.000000
full_piece,386.506653,0.021450
full_piece,387.743988,0.291040
full_piece,388.575989,0.432153
full_piece,389.407990,0.128303
full_piece,390.239990,0.000000
full_piece,391.071991,0.476920
full_piece,391.903992,0.149257
full_piece,392.330658,0.095427
full_piece,393.578674,0.469555
full_piece,394.410675,0.279950
full_piece,396.074677,0.000000
full_piece,396.906677,0.174705
full_piece,398.570679,0.248939
full_piece,399.402679,0.048883
full_piece,401.077332,0.014722
full_piece,401.920013,0.037168
full_piece,403.573334,0.086645
full_piece,405.247986,0.095684
full_piece,406.069336,0.028124
full_piece,406.911987,0.000000
full_piece,407.743988,0.041125
full_piece,408.575989,0.262160
full_piece,409.407990,0.199444
full_piece,410.250671,0.193843
