event_id,measure,position,variant,channel_mode,sample,source_start_ms,source_end_ms,duration_ms,fade_in_ms,fade_out_ms,timing_rule,timing_note
1,1,1-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-001-soprano.mp3,0.0,14000.0,14000.0,20.0,2352.941,event_1_fixed_window,musicxml_tempo_encoded
1,1,1-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-001-alto.mp3,0.0,14000.0,14000.0,20.0,2352.941,event_1_fixed_window,musicxml_tempo_encoded
1,1,1-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-001-tenor-bass.mp3,0.0,14000.0,14000.0,20.0,2352.941,event_1_fixed_window,musicxml_tempo_encoded
2,2,1-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-002-soprano.mp3,11912.0,18970.941,7058.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
2,2,1-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-002-alto.mp3,11912.0,18970.941,7058.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
2,2,1-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-002-tenor-bass.mp3,11912.0,18970.941,7058.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
3,4,1-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-003-soprano.mp3,16618.0,20146.941,3528.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
3,4,1-of-4,alto,right,available-sounds/electronics-event-clips/alto/electronics-event-003-alto.mp3,16618.0,20146.941,3528.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
3,4,1-of-4,tenor_bass,mono_sum,available-sounds/electronics-event-clips/tenor-bass/electronics-event-003-tenor-bass.mp3,16618.0,20146.941,3528.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
4,4,3-of-4,soprano,left,available-sounds/electronics-event-clips/soprano/electronics-event-004-soprano.mp3,17794.0,20735.941,2941.941,20.0,2352.941,event_to_next_event_plus_four_beats,musicxml_tempo_encoded
