id,scoreLabel,measureToken,measure,scoreMeasureOrdinal,position,tempoBpm,assignmentScope,assignmentKey,channelMode,sourceFile,sourceStartMs,sourceEndMs,durationMs,fadeInMs,fadeOutMs,sample
1,"M1, beat1",1,1,1,beat1,102.0,choir_family,soprano,left,composite:full_electronics+family_primer_stem,2000.0,13088.471,11088.471,20.0,1176.471,available-sounds/electronics-trigger-clips/soprano/electronics-trigger-01-soprano.mp3
1,"M1, beat1",1,1,1,beat1,102.0,choir_family,alto,right,composite:full_electronics+family_primer_stem,2000.0,13088.471,11088.471,20.0,1176.471,available-sounds/electronics-trigger-clips/alto/electronics-trigger-01-alto.mp3
1,"M1, beat1",1,1,1,beat1,102.0,choir_family,tenor_bass,mono_sum,composite:full_electronics+family_primer_stem,2000.0,13088.471,11088.471,20.0,1176.471,available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-01-tenor-bass.mp3
2,"M2, beat1",2,2,2,beat1,102.0,choir_family,soprano,left,composite:full_electronics+family_primer_stem,11912.0,68970.824,57058.824,20.0,1176.471,available-sounds/electronics-trigger-clips/soprano/electronics-trigger-02-soprano.mp3
2,"M2, beat1",2,2,2,beat1,102.0,choir_family,alto,right,composite:full_electronics+family_primer_stem,11912.0,68970.824,57058.824,20.0,1176.471,available-sounds/electronics-trigger-clips/alto/electronics-trigger-02-alto.mp3
2,"M2, beat1",2,2,2,beat1,102.0,choir_family,tenor_bass,mono_sum,composite:full_electronics+family_primer_stem,11912.0,68970.824,57058.824,20.0,1176.471,available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-02-tenor-bass.mp3
3,"M25, beat4",25,25,25,beat4,102.0,choir_family,soprano,left,composite:full_electronics+family_primer_stem,67794.353,89461.02,21666.667,20.0,1666.667,available-sounds/electronics-trigger-clips/soprano/electronics-trigger-03-soprano.mp3
3,"M25, beat4",25,25,25,beat4,102.0,choir_family,alto,right,composite:full_electronics+family_primer_stem,67794.353,89461.02,21666.667,20.0,1666.667,available-sounds/electronics-trigger-clips/alto/electronics-trigger-03-alto.mp3
3,"M25, beat4",25,25,25,beat4,102.0,choir_family,tenor_bass,mono_sum,composite:full_electronics+family_primer_stem,67794.353,89461.02,21666.667,20.0,1666.667,available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-03-tenor-bass.mp3
4,"M33, beat2",33,33,33,beat2,72.0,choir_family,soprano,left,composite:full_electronics+family_primer_stem,87794.353,96127.687,8333.334,20.0,1666.667,available-sounds/electronics-trigger-clips/soprano/electronics-trigger-04-soprano.mp3
4,"M33, beat2",33,33,33,beat2,72.0,choir_family,alto,right,composite:full_electronics+family_primer_stem,87794.353,96127.687,8333.334,20.0,1666.667,available-sounds/electronics-trigger-clips/alto/electronics-trigger-04-alto.mp3
4,"M33, beat2",33,33,33,beat2,72.0,choir_family,tenor_bass,mono_sum,composite:full_electronics+family_primer_stem,87794.353,96127.687,8333.334,20.0,1666.667,available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-04-tenor-bass.mp3
5,"M36, beat1",36,36,36,beat1,72.0,light_staff,soprano_l1,part_track,composite:full_electronics+family_primer_stem+musique_concrete+mm100_103,0.0,21666.658,21666.658,20.0,1666.666,available-sounds/electronics-trigger-clips/part-specific/soprano-l1/electronics-trigger-05-soprano-l1-tour-cut-composite.mp3
5,"M36, beat1",36,36,36,beat1,72.0,light_staff,soprano_l2,part_track,composite:full_electronics+family_primer_stem+musique_concrete+mm100_103,0.0,21666.658,21666.658,20.0,1666.666,available-sounds/electronics-trigger-clips/part-specific/soprano-l2/electronics-trigger-05-soprano-l2-tour-cut-composite.mp3
5,"M36, beat1",36,36,36,beat1,72.0,light_staff,tenor_l,part_track,composite:full_electronics+family_primer_stem+musique_concrete+mm100_103,0.0,21666.658,21666.658,20.0,1666.666,available-sounds/electronics-trigger-clips/part-specific/tenor-l/electronics-trigger-05-tenor-l-tour-cut-composite.mp3
5,"M36, beat1",36,36,36,beat1,72.0,light_staff,bass_l,part_track,composite:full_electronics+family_primer_stem+musique_concrete+mm100_103,0.0,21666.658,21666.658,20.0,1666.666,available-sounds/electronics-trigger-clips/part-specific/bass-l/electronics-trigger-05-bass-l-tour-cut-composite.mp3
5,"M36, beat1",36,36,36,beat1,72.0,light_staff,alto_l2,part_track,composite:full_electronics+family_primer_stem+musique_concrete+mm100_103,0.0,21666.658,21666.658,20.0,1666.666,available-sounds/electronics-trigger-clips/part-specific/alto-l2/electronics-trigger-05-alto-l2-tour-cut-composite.mp3
5,"M36, beat1",36,36,36,beat1,72.0,light_staff,alto_l1,part_track,composite:full_electronics+family_primer_stem+musique_concrete+mm100_103,0.0,21666.658,21666.658,20.0,1666.666,available-sounds/electronics-trigger-clips/part-specific/alto-l1/electronics-trigger-05-alto-l1-tour-cut-composite.mp3
11,"M104, beat1",104,104,42,beat1,72.0,choir_family,soprano,left,composite:full_electronics+family_primer_stem,298627.686,335294.353,36666.667,20.0,1666.667,available-sounds/electronics-trigger-clips/soprano/electronics-trigger-11-soprano.mp3
11,"M104, beat1",104,104,42,beat1,72.0,choir_family,alto,right,composite:full_electronics+family_primer_stem,298627.686,335294.353,36666.667,20.0,1666.667,available-sounds/electronics-trigger-clips/alto/electronics-trigger-11-alto.mp3
11,"M104, beat1",104,104,42,beat1,72.0,choir_family,tenor_bass,mono_sum,composite:full_electronics+family_primer_stem,298627.686,335294.353,36666.667,20.0,1666.667,available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-11-tenor-bass.mp3
12,"M115, beat1",115,115,53,beat1,72.0,choir_family,soprano,left,composite:full_electronics+family_primer_stem,333627.686,440147.292,106519.606,20.0,1666.667,available-sounds/electronics-trigger-clips/soprano/electronics-trigger-12-soprano.mp3
12,"M115, beat1",115,115,53,beat1,72.0,choir_family,alto,right,composite:full_electronics+family_primer_stem,333627.686,440147.292,106519.606,20.0,1666.667,available-sounds/electronics-trigger-clips/alto/electronics-trigger-12-alto.mp3
12,"M115, beat1",115,115,53,beat1,72.0,choir_family,tenor_bass,mono_sum,composite:full_electronics+family_primer_stem,333627.686,440147.292,106519.606,20.0,1666.667,available-sounds/electronics-trigger-clips/tenor-bass/electronics-trigger-12-tenor-bass.mp3
