id,measure,position,onset_seconds,onset_milliseconds,event_duration_seconds,event_end_seconds,tempo_bpm,meter,primer_count,sample_length,measure_words,timing_note,primer
1,1,1-of-4,0.0,0,0.0,0.0,102.0,4/4,0,SHORT,"[""Moderato"", ""Sounds of flowing water"", ""Begin in darkness""]",musicxml_tempo_encoded,{}
2,2,1-of-4,2.352941,2353,1.724083,4.077024,102.0,4/4,6,SHORT,"[""nighttime sounds mixed with cacouphonous shimmery jingling""]",musicxml_tempo_encoded,"{""blue"": {""sample"": ""primerTones/short27.mp3"", ""note"": ""Eb4""}, ""red"": {""sample"": ""primerTones/short27.mp3"", ""note"": ""Eb4""}, ""cyan"": {""sample"": ""primerTones/short27.mp3"", ""note"": ""Eb4""}, ""yellow"": {""sample"": ""primerTones/short15.mp3"", ""note"": ""Eb3""}, ""pink"": {""sample"": ""primerTones/short15.mp3"", ""note"": ""Eb3""}, ""purple"": {""sample"": ""primerTones/short15.mp3"", ""note"": ""Eb3""}}"
3,4,1-of-4,7.058824,7059,1.724083,8.782907,102.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""magenta"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""orange"": {""sample"": ""primerTones/short29.mp3"", ""note"": ""F4""}, ""blue"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""red"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""cyan"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""yellow"": {""sample"": ""primerTones/short14.mp3"", ""note"": ""D3""}, ""pink"": {""sample"": ""primerTones/short14.mp3"", ""note"": ""D3""}, ""purple"": {""sample"": ""primerTones/short14.mp3"", ""note"": ""D3""}}"
4,4,3-of-4,8.235295,8235,1.724083,9.959378,102.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""Db5""}, ""magenta"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""Db5""}, ""orange"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""Db5""}, ""blue"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""red"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""cyan"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""yellow"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""pink"": {""sample"": ""primerTones/short14.mp3"", ""note"": ""D3""}, ""purple"": {""sample"": ""primerTones/short14.mp3"", ""note"": ""D3""}}"
5,4,4-of-4,8.82353,8824,1.724083,10.547613,102.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""Db5""}, ""magenta"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""Db5""}, ""orange"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""Db5""}, ""blue"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""red"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""cyan"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""yellow"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""pink"": {""sample"": ""primerTones/short16.mp3"", ""note"": ""E3""}, ""purple"": {""sample"": ""primerTones/short16.mp3"", ""note"": ""E3""}}"
6,5,1-of-4,9.411765,9412,1.724083,11.135848,102.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""Db5""}, ""magenta"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""Db5""}, ""orange"": {""sample"": ""primerTones/short37.mp3"", ""note"": ""Db5""}, ""blue"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""red"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""cyan"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""yellow"": {""sample"": ""primerTones/short25.mp3"", ""note"": ""Db4""}, ""pink"": {""sample"": ""primerTones/short16.mp3"", ""note"": ""E3""}, ""purple"": {""sample"": ""primerTones/short16.mp3"", ""note"": ""E3""}}"
7,6,1-of-4,11.764706,11765,1.724083,13.488789,102.0,4/4,3,SHORT,[],musicxml_tempo_encoded,"{""yellow"": {""sample"": ""primerTones/short15.mp3"", ""note"": ""Eb3""}, ""pink"": {""sample"": ""primerTones/short15.mp3"", ""note"": ""Eb3""}, ""purple"": {""sample"": ""primerTones/short15.mp3"", ""note"": ""Eb3""}}"
8,7,3-of-4,15.294118,15294,1.724083,17.018201,102.0,4/4,9,SHORT,[],musicxml_tempo_encoded,"{""green"": {""sample"": ""primerTones/short31.mp3"", ""note"": ""G4""}, ""magenta"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""orange"": {""sample"": ""primerTones/short26.mp3"", ""note"": ""D4""}, ""blue"": {""sample"": ""primerTones/short22.mp3"", ""note"": ""Bb3""}, ""red"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""cyan"": {""sample"": ""primerTones/short19.mp3"", ""note"": ""G3""}, ""yellow"": {""sample"": ""primerTones/short14.mp3"", ""note"": ""D3""}, ""pink"": {""sample"": ""primerTones/short11.mp3"", ""note"": ""B2""}, ""purple"": {""sample"": ""primerTones/short11.mp3"", ""note"": ""B2""}}"
9,10,1-of-4,21.176471,21176,1.724083,22.900554,102.0,4/4,6,SHORT,"[""niente""]",musicxml_tempo_encoded,"{""blue"": {""sample"": ""primerTones/short17.mp3"", ""note"": ""F3""}, ""red"": {""sample"": ""primerTones/short17.mp3"", ""note"": ""F3""}, ""cyan"": {""sample"": ""primerTones/short17.mp3"", ""note"": ""F3""}, ""yellow"": {""sample"": ""primerTones/short17.mp3"", ""note"": ""E#3""}, ""pink"": {""sample"": ""primerTones/short13.mp3"", ""note"": ""C#3""}, ""purple"": {""sample"": ""primerTones/short13.mp3"", ""note"": ""C#3""}}"
10,11,1-of-4,23.529412,23529,6.739625,30.269037,102.0,4/4,6,LONG,[],musicxml_tempo_encoded,"{""blue"": {""sample"": ""primerTones/long73.mp3"", ""note"": ""B3""}, ""red"": {""sample"": ""primerTones/long66.mp3"", ""note"": ""E3""}, ""cyan"": {""sample"": ""primerTones/long66.mp3"", ""note"": ""E3""}, ""yellow"": {""sample"": ""primerTones/long65.mp3"", ""note"": ""D#3""}, ""pink"": {""sample"": ""primerTones/long65.mp3"", ""note"": ""D#3""}, ""purple"": {""sample"": ""primerTones/long65.mp3"", ""note"": ""D#3""}}"
